channel,respondent_id,start_date,end_date,us_state,year_of_birth,gender,race,income,degree,pcp_img,cardiologist_img,psychiatrist_img,dentist_img,pcp,cardiologist,psyciatrist,denstist
surveymonkey,10886230836,7/26/19 13:58,7/26/19 13:59,Arizona,1991,Male,Hispanic,"$10,000ë_to $49,999",Bachelor's Degree (4-year),Image 2,Image 4,,,Male,Male,NULL,NULL
surveymonkey,10886220911,7/26/19 13:52,7/26/19 13:54,New York,1999,Female,Prefer not to disclose,Prefer NOT to disclose,Bachelor's Degree (4-year),Image 4,Image 3,Image 2,Image 3,Female,Male,Female,Female
surveymonkey,10886210306,7/26/19 13:43,7/26/19 13:46,Oregon,1987,Male,Asian / Pacific Islander,"$200,000 or more",Bachelor's Degree (4-year),Image 4,Image 4,Image 4,Image 4,Female,Male,Male,Female
surveymonkey,10886208651,7/26/19 13:42,7/26/19 13:45,Florida,1981,Male,White / Caucasian,"$10,000ë_to $49,999",High School Graduate,Image 4,Image 1,Image 2,Image 2,Female,Female,Female,Male
surveymonkey,10886200449,7/26/19 13:38,7/26/19 13:41,New York,1998,Female,Asian / Pacific Islander,"$10,000ë_to $49,999",High School Graduate,Image 3,Image 3,Image 3,Image 2,Female,Male,Male,Male
surveymonkey,10886186766,7/26/19 13:32,7/26/19 13:33,Kentucky,1974,Female,White / Caucasian,"$10,000ë_to $49,999",High School Graduate,Image 4,Image 1,Image 2,Image 3,Female,Female,Female,Female
surveymonkey,10886185974,7/26/19 13:30,7/26/19 13:33,New York,1986,Male,Asian / Pacific Islander,"$50,000 and $99,999",Bachelor's Degree (4-year),Image 2,Image 3,Image 1,Image 1,Male,Male,Female,Male
surveymonkey,10886183525,7/26/19 13:31,7/26/19 13:34,Michigan,1990,Male,White / Caucasian,"$10,000ë_to $49,999",Bachelor's Degree (4-year),Image 4,Image 3,Image 2,Image 2,Female,Male,Female,Male
surveymonkey,10886182365,7/26/19 13:27,7/26/19 13:31,Texas,1978,Female,White / Caucasian,"$50,000 and $99,999",High School Graduate,Image 4,Image 2,Image 1,Image 2,Female,Female,Female,Male
surveymonkey,10886173852,7/26/19 13:24,7/26/19 13:26,Texas,1998,Male,White / Caucasian,"$100,000 to $149,999",Associate Degree (2-year),Image 3,Image 3,Image 2,Image 3,Female,Male,Female,Female
surveymonkey,10886167470,7/26/19 13:22,7/26/19 13:26,New Jersey,2000,Male,White / Caucasian,Prefer NOT to disclose,High School Graduate,Image 4,Image 4,Image 4,Image 3,Female,Male,Male,Female
surveymonkey,10886164902,7/26/19 13:15,7/26/19 13:21,Texas,2001,Female,Others not mentioned,"Less thanë_$10,000",Bachelor's Degree (4-year),Image 3,Image 1,Image 2,Image 4,Female,Female,Female,Female
surveymonkey,10886164257,7/26/19 13:20,7/26/19 13:23,Arkansas,1985,Female,Multiple ethnicities,"Less thanë_$10,000",High School Graduate,Image 3,Image 2,Image 1,Image 3,Female,Female,Female,Female
surveymonkey,10886156043,7/26/19 13:16,7/26/19 13:17,Michigan,1982,Male,White / Caucasian,"$50,000 and $99,999",High School Graduate,Image 3,Image 1,Image 2,Image 3,Female,Female,Female,Female
surveymonkey,10886155714,7/26/19 13:15,7/26/19 13:18,Illinois,2000,Female,Hispanic,"$50,000 and $99,999",High School Graduate,Image 3,Image 3,Image 2,Image 2,Female,Male,Female,Male
surveymonkey,10886155390,7/26/19 13:15,7/26/19 13:15,Alabama,1989,Male,Asian / Pacific Islander,"Less thanë_$10,000",Associate Degree (2-year),Image 2,Image 3,Image 4,Image 1,Male,Male,Male,Male
surveymonkey,10886155138,7/26/19 13:14,7/26/19 13:15,Oklahoma,1997,Female,White / Caucasian,"$10,000ë_to $49,999",Bachelor's Degree (4-year),Image 4,Image 2,Image 4,Image 2,Female,Female,Male,Male
surveymonkey,10886153152,7/26/19 13:11,7/26/19 13:14,Colorado,1978,Female,White / Caucasian,"$50,000 and $99,999","Professional Degree (MD, JD etc.)",Image 4,Image 1,Image 2,Image 2,Female,Female,Female,Male
surveymonkey,10886132117,7/26/19 13:01,7/26/19 13:03,Florida,1988,Female,Black or African American,"$10,000ë_to $49,999",Bachelor's Degree (4-year),Image 4,Image 3,Image 2,Image 3,Female,Male,Female,Female
surveymonkey,10886131638,7/26/19 13:02,7/26/19 13:05,New York,1987,Male,White / Caucasian,"$50,000 and $99,999",Bachelor's Degree (4-year),Image 4,Image 4,Image 4,Image 4,Female,Male,Male,Female
surveymonkey,10886125970,7/26/19 12:57,7/26/19 12:59,North Carolina,1992,Male,White / Caucasian,"$50,000 and $99,999",Bachelor's Degree (4-year),Image 2,Image 2,Image 4,Image 2,Male,Female,Male,Male
surveymonkey,10886125560,7/26/19 12:59,7/26/19 13:00,Georgia,1991,Female,White / Caucasian,"Less thanë_$10,000",Bachelor's Degree (4-year),Image 4,Image 1,Image 2,Image 4,Female,Female,Female,Female
surveymonkey,10886122974,7/26/19 12:56,7/26/19 12:58,California,1967,Female,White / Caucasian,"Less thanë_$10,000",Associate Degree (2-year),Image 4,Image 4,Image 1,Image 4,Female,Male,Female,Female
surveymonkey,10886122856,7/26/19 12:56,7/26/19 12:58,New York,1950,Male,White / Caucasian,"$100,000 to $149,999",Bachelor's Degree (4-year),Image 4,Image 1,Image 1,Image 4,Female,Female,Female,Female
surveymonkey,10886115577,7/26/19 12:50,7/26/19 12:54,Georgia,1972,Female,Black or African American,"$100,000 to $149,999",Doctoral Degree,Image 3,Image 2,Image 4,Image 1,Female,Female,Male,Male
surveymonkey,10886109890,7/26/19 12:46,7/26/19 12:51,Montana,1984,Female,White / Caucasian,"$50,000 and $99,999","Professional Degree (MD, JD etc.)",Image 3,Image 2,Image 2,Image 3,Female,Female,Female,Female
surveymonkey,10886108151,7/26/19 12:46,7/26/19 12:50,Texas,1992,Female,White / Caucasian,"$50,000 and $99,999",Associate Degree (2-year),Image 2,Image 3,Image 3,Image 2,Male,Male,Male,Male
surveymonkey,10886107145,7/26/19 12:47,7/26/19 12:49,North Carolina,1983,Female,White / Caucasian,"$50,000 and $99,999",Preferë_NOT to disclose,Image 3,Image 2,Image 1,Image 3,Female,Female,Female,Female
surveymonkey,10886105689,7/26/19 12:48,7/26/19 12:51,Pennsylvania,1966,Female,White / Caucasian,"$200,000 or more",Bachelor's Degree (4-year),Image 4,Image 3,Image 2,Image 4,Female,Male,Female,Female
surveymonkey,10886094549,7/26/19 12:42,7/26/19 12:48,Texas,1991,Female,White / Caucasian,"$10,000ë_to $49,999",Doctoral Degree,Image 4,Image 4,Image 2,Image 2,Female,Male,Female,Male
surveymonkey,10886086757,7/26/19 12:38,7/26/19 12:42,California,1969,Female,Black or African American,"$50,000 and $99,999",Bachelor's Degree (4-year),Image 2,Image 1,Image 3,Image 1,Male,Female,Male,Male
surveymonkey,10886086544,7/26/19 12:37,7/26/19 12:42,California,1998,Female,Multiple ethnicities,"$50,000 and $99,999",Bachelor's Degree (4-year),Image 4,Image 3,Image 4,Image 1,Female,Male,Male,Male
surveymonkey,10886083098,7/26/19 12:36,7/26/19 12:45,Florida,1979,Female,Black or African American,"$10,000ë_to $49,999",High School Graduate,Image 3,Image 1,Image 2,Image 2,Female,Female,Female,Male
surveymonkey,10886077843,7/26/19 12:33,7/26/19 12:35,Georgia,1991,Female,White / Caucasian,"$10,000ë_to $49,999",Associate Degree (2-year),Image 3,Image 4,Image 3,Image 1,Female,Male,Male,Male
surveymonkey,10886076982,7/26/19 12:32,7/26/19 12:33,Ohio,1994,Female,White / Caucasian,"$10,000ë_to $49,999",Associate Degree (2-year),Image 4,Image 3,Image 3,Image 1,Female,Male,Male,Male
surveymonkey,10886076474,7/26/19 12:32,7/26/19 12:36,Louisiana,1973,Female,Hispanic,"$50,000 and $99,999",Bachelor's Degree (4-year),Image 3,Image 4,Image 3,Image 3,Female,Male,Male,Female
surveymonkey,10886073059,7/26/19 12:31,7/26/19 12:32,Illinois,1986,Male,White / Caucasian,"$150,000 to $199,999",Bachelor's Degree (4-year),Image 1,Image 1,Image 3,Image 2,Male,Female,Male,Male
surveymonkey,10886070542,7/26/19 12:29,7/26/19 12:32,Georgia,1995,Male,Multiple ethnicities,"Less thanë_$10,000",Associate Degree (2-year),Image 3,Image 3,Image 2,Image 1,Female,Male,Female,Male
surveymonkey,10886062010,7/26/19 12:26,7/26/19 12:32,Connecticut,1965,Female,Asian / Pacific Islander,"$100,000 to $149,999",Bachelor's Degree (4-year),Image 4,Image 3,Image 1,Image 3,Female,Male,Female,Female
surveymonkey,10886059763,7/26/19 12:25,7/26/19 12:27,Massachusetts,1996,Male,White / Caucasian,Prefer NOT to disclose,Associate Degree (2-year),Image 4,Image 3,Image 2,Image 1,Female,Male,Female,Male
surveymonkey,10886041744,7/26/19 12:16,7/26/19 12:18,California,1988,Male,Asian / Pacific Islander,Prefer NOT to disclose,Preferë_NOT to disclose,Image 4,Image 3,Image 2,Image 3,Female,Male,Female,Female
surveymonkey,10886030834,7/26/19 12:04,7/26/19 12:12,New Mexico,1980,Female,Prefer not to disclose,Prefer NOT to disclose,Bachelor's Degree (4-year),Image 1,Image 1,Image 1,Image 2,Male,Female,Female,Male
surveymonkey,10886026692,7/26/19 12:01,7/26/19 12:09,Pennsylvania,1997,Male,White / Caucasian,"$10,000ë_to $49,999",High School Graduate,Image 2,Image 3,Image 1,Image 2,Male,Male,Female,Male
surveymonkey,10886019566,7/26/19 12:01,7/26/19 12:06,Indiana,1991,Female,White / Caucasian,"$50,000 and $99,999",Bachelor's Degree (4-year),Image 2,Image 1,Image 2,Image 3,Male,Female,Female,Female
surveymonkey,10886018673,7/26/19 12:03,7/26/19 12:05,Texas,1962,Female,Hispanic,"$100,000 to $149,999",Associate Degree (2-year),Image 3,Image 2,Image 2,Image 2,Female,Female,Female,Male
surveymonkey,10886016316,7/26/19 12:04,7/26/19 12:18,Texas,1973,Female,Black or African American,"$100,000 to $149,999","Professional Degree (MD, JD etc.)",Image 4,Image 1,,Image 3,Female,Female,NULL,Female
surveymonkey,10886015279,7/26/19 12:01,7/26/19 12:03,Ohio,1993,Female,White / Caucasian,Prefer NOT to disclose,High School Graduate,Image 3,Image 2,Image 2,Image 3,Female,Female,Female,Female
surveymonkey,10886014664,7/26/19 12:01,7/26/19 12:03,North Carolina,1992,Male,White / Caucasian,"Less thanë_$10,000",High School Graduate,Image 4,Image 3,Image 2,Image 4,Female,Male,Female,Female
surveymonkey,10886011483,7/26/19 12:00,7/26/19 12:01,New York,1984,Female,White / Caucasian,"$10,000ë_to $49,999",Associate Degree (2-year),Image 1,Image 3,Image 1,Image 3,Male,Male,Female,Female
surveymonkey,10886010028,7/26/19 12:00,7/26/19 12:03,Illinois,1980,Female,Hispanic,"$100,000 to $149,999","Professional Degree (MD, JD etc.)",Image 4,Image 3,Image 2,Image 2,Female,Male,Female,Male
surveymonkey,10886008697,7/26/19 11:56,7/26/19 12:00,New Jersey,1984,Female,White / Caucasian,"$10,000ë_to $49,999",Preferë_NOT to disclose,Image 3,Image 1,Image 1,Image 4,Female,Female,Female,Female
surveymonkey,10886007605,7/26/19 11:56,7/26/19 11:59,New York,1993,Male,White / Caucasian,"$100,000 to $149,999",Bachelor's Degree (4-year),Image 4,Image 3,Image 4,Image 2,Female,Male,Male,Male
surveymonkey,10885998310,7/26/19 11:50,7/26/19 11:54,California,1994,Male,Multiple ethnicities,"$10,000ë_to $49,999",High School Graduate,Image 4,Image 2,Image 2,Image 2,Female,Female,Female,Male
surveymonkey,10885997446,7/26/19 11:51,7/26/19 11:54,California,1993,Female,White / Caucasian,"$50,000 and $99,999",Associate Degree (2-year),Image 3,Image 2,Image 2,Image 4,Female,Female,Female,Female
surveymonkey,10885987506,7/26/19 11:46,7/26/19 11:49,California,2001,Female,White / Caucasian,Prefer NOT to disclose,High School Graduate,Image 3,Image 2,Image 1,Image 2,Female,Female,Female,Male
surveymonkey,10885983918,7/26/19 11:47,7/26/19 11:48,Illinois,1990,Male,White / Caucasian,Prefer NOT to disclose,Preferë_NOT to disclose,Image 3,Image 2,Image 4,Image 3,Female,Female,Male,Female
surveymonkey,10885981094,7/26/19 11:45,7/26/19 11:48,Massachusetts,1983,Male,White / Caucasian,"$50,000 and $99,999",High School Graduate,Image 2,Image 4,Image 4,Image 1,Male,Male,Male,Male
surveymonkey,10885978679,7/26/19 11:40,7/26/19 11:44,New York,1958,Female,White / Caucasian,"$10,000ë_to $49,999",Associate Degree (2-year),Image 4,Image 1,Image 1,Image 2,Female,Female,Female,Male
surveymonkey,10885965239,7/26/19 11:30,7/26/19 11:37,California,1988,Male,Asian / Pacific Islander,"$10,000ë_to $49,999",Associate Degree (2-year),Image 2,Image 2,Image 1,Image 1,Male,Female,Female,Male
surveymonkey,10885959856,7/26/19 11:28,7/26/19 11:34,Texas,2000,Female,Hispanic,Prefer NOT to disclose,High School Graduate,Image 4,Image 3,Image 2,Image 3,Female,Male,Female,Female
surveymonkey,10885955223,7/26/19 11:31,7/26/19 11:34,Florida,1961,Male,White / Caucasian,"$100,000 to $149,999",Bachelor's Degree (4-year),Image 1,Image 3,Image 2,Image 2,Male,Male,Female,Male
surveymonkey,10885953868,7/26/19 11:06,7/26/19 11:31,Massachusetts,1987,Male,White / Caucasian,"$50,000 and $99,999",Bachelor's Degree (4-year),Image 4,Image 3,Image 3,Image 2,Female,Male,Male,Male
surveymonkey,10885953665,7/26/19 11:30,7/26/19 11:34,Arkansas,1971,Female,White / Caucasian,"Less thanë_$10,000",High School Graduate,Image 4,Image 2,Image 1,Image 3,Female,Female,Female,Female
surveymonkey,10885950920,7/26/19 11:28,7/26/19 11:30,Connecticut,1991,Female,White / Caucasian,"$10,000ë_to $49,999",Bachelor's Degree (4-year),Image 2,Image 3,Image 1,Image 2,Male,Male,Female,Male
surveymonkey,10885947571,7/26/19 11:23,7/26/19 11:27,Colorado,1991,Male,White / Caucasian,"$150,000 to $199,999",Bachelor's Degree (4-year),Image 2,Image 2,Image 2,Image 4,Male,Female,Female,Female
surveymonkey,10885943937,7/26/19 11:25,7/26/19 11:27,Pennsylvania,1969,Male,Black or African American,"Less thanë_$10,000",High School Graduate,Image 1,Image 3,Image 4,Image 1,Male,Male,Male,Male
surveymonkey,10885941838,7/26/19 11:22,7/26/19 11:24,New York,1974,Female,Asian / Pacific Islander,"$10,000ë_to $49,999",Bachelor's Degree (4-year),Image 4,Image 4,Image 4,Image 4,Female,Male,Male,Female
surveymonkey,10885939875,7/26/19 11:16,7/26/19 11:23,North Carolina,1976,Female,White / Caucasian,"$10,000ë_to $49,999",Associate Degree (2-year),Image 2,Image 2,Image 4,Image 3,Male,Female,Male,Female
surveymonkey,10885936144,7/26/19 11:16,7/26/19 11:21,Michigan,1951,Female,White / Caucasian,"$50,000 and $99,999",Associate Degree (2-year),Image 3,Image 4,Image 3,Image 4,Female,Male,Male,Female
surveymonkey,10885934814,7/26/19 11:19,7/26/19 11:21,Wisconsin,1978,Male,White / Caucasian,"$50,000 and $99,999",Associate Degree (2-year),Image 1,Image 4,Image 3,Image 1,Male,Male,Male,Male
surveymonkey,10885933528,7/26/19 11:13,7/26/19 11:20,Ohio,1978,Female,Black or African American,"$100,000 to $149,999",Bachelor's Degree (4-year),Image 3,Image 3,Image 1,Image 2,Female,Male,Female,Male
surveymonkey,10885931495,7/26/19 11:19,7/26/19 11:21,Connecticut,1967,Male,White / Caucasian,"$10,000ë_to $49,999",High School Graduate,Image 4,Image 3,Image 4,Image 2,Female,Male,Male,Male
surveymonkey,10885915348,7/26/19 11:08,7/26/19 11:10,California,1978,Female,White / Caucasian,"$50,000 and $99,999",Bachelor's Degree (4-year),Image 3,Image 2,Image 4,Image 2,Female,Female,Male,Male
surveymonkey,10885912133,7/26/19 11:05,7/26/19 11:09,California,1954,Male,Black or African American,"$50,000 and $99,999",Associate Degree (2-year),Image 1,Image 3,Image 1,Image 2,Male,Male,Female,Male
surveymonkey,10885901520,7/26/19 11:03,7/26/19 11:05,West Virginia,1993,Female,White / Caucasian,"$100,000 to $149,999","Professional Degree (MD, JD etc.)",Image 3,Image 4,Image 3,Image 4,Female,Male,Male,Female
surveymonkey,10885894070,7/26/19 10:58,7/26/19 10:59,Georgia,1992,Male,White / Caucasian,"$50,000 and $99,999",Bachelor's Degree (4-year),Image 4,Image 1,Image 1,Image 2,Female,Female,Female,Male
surveymonkey,10885882764,7/26/19 10:52,7/26/19 10:53,Georgia,1981,Female,White / Caucasian,"$10,000ë_to $49,999",High School Graduate,Image 4,Image 3,Image 2,Image 1,Female,Male,Female,Male
surveymonkey,10885879787,7/26/19 10:49,7/26/19 10:52,North Carolina,1974,Female,White / Caucasian,"$50,000 and $99,999",Associate Degree (2-year),Image 4,Image 2,Image 2,Image 2,Female,Female,Female,Male
surveymonkey,10885874730,7/26/19 10:46,7/26/19 10:49,Michigan,2000,Female,White / Caucasian,Prefer NOT to disclose,Associate Degree (2-year),Image 4,Image 3,Image 2,Image 4,Female,Male,Female,Female
surveymonkey,10885874388,7/26/19 10:46,7/26/19 10:49,Washington,1971,Female,White / Caucasian,"$10,000ë_to $49,999",High School Graduate,Image 3,Image 2,Image 1,Image 2,Female,Female,Female,Male
surveymonkey,10885871876,7/26/19 10:46,7/26/19 10:48,Virginia,1990,Male,White / Caucasian,"$50,000 and $99,999",Bachelor's Degree (4-year),Image 2,Image 2,Image 2,Image 2,Male,Female,Female,Male
surveymonkey,10885870452,7/26/19 10:46,7/26/19 10:47,Nebraska,1991,Female,White / Caucasian,"$50,000 and $99,999",Bachelor's Degree (4-year),Image 3,Image 2,Image 2,Image 4,Female,Female,Female,Female
surveymonkey,10885869800,7/26/19 10:46,7/26/19 10:47,Arizona,1990,Male,Asian / Pacific Islander,"$50,000 and $99,999",Doctoral Degree,Image 3,Image 1,Image 2,Image 1,Female,Female,Female,Male
surveymonkey,10885867998,7/26/19 10:46,7/26/19 10:49,Texas,2000,Female,White / Caucasian,"$200,000 or more",High School Graduate,Image 4,Image 3,Image 2,Image 3,Female,Male,Female,Female
